"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2045","MYINFO_TC09: Manually input Date of Birth with wrong format","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","2095","LOGIN_TC10: SQL Injection cơ bản trong username","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","1981","ADDEMP_TC02: không cho lưu khi bỏ trống First Name","PIM - Add Employee","2026-08-21","passed","2026-08-21","","","",""
"","4404","MYINFO_TC08: Future Date of Birth is accepted","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","7215","ADDEMP_TC03: thêm nhân viên kèm tài khoản đăng nhập (ESS)","PIM - Add Employee","2026-08-21","passed","2026-08-21","","","",""
"","2989","MYINFO_TC03: Update without First Name","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","0","LOGIN_TC17: session sau khi logout (nút Back)","","2026-08-21","skipped","2026-08-21","","","",""
"","5967","MYINFO_TC11: Update Contact Details","OrangeHRM - My Info - Contact Details","2026-08-21","passed","2026-08-21","","","",""
"","2168","LOGIN_TC14: reset password — click Cancel","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","1844","LOGIN_TC03: đăng nhập thất bại với username sai","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","11958","ADDEMP_TC01: thêm nhân viên mới thành công với thông tin hợp lệ","PIM - Add Employee","2026-08-21","failed","2026-08-21","","","",""
"","2089","LOGIN_TC16: truy cập trang nội bộ khi chưa login","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","2927","MYINFO_TC13: Verify the email format is invalid.","OrangeHRM - My Info - Contact Details","2026-08-21","passed","2026-08-21","","","",""
"","4585","MYINFO_TC02 - Update First/Last Name successful","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","4710","MYINFO_TC26: Name with Vietnamese diacritics is saved and displayed correctly","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","877","LOGIN_TC06: bỏ trống cả username và password","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","5486","LOGIN_TC18: nhớ trạng thái đăng nhập khi refresh","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","5334","LOGIN_TC01: đăng nhập thành công với tài khoản hợp lệ","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","2360","LOGIN_TC02: đăng nhập thất bại với password sai","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","1476","LOGIN_TC12: Forgot Password — điều hướng","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","952","LOGIN_TC04: bỏ trống username","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","0","LOGIN_TC13: reset password với username hợp lệ","","2026-08-21","skipped","2026-08-21","","","",""
"","3642","MYINFO_TC05: Choose Nationality","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","3194","MYINFO_TC01: View Personal Details","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","12501","MYINFO_TC12: Verify the number contains letters.","OrangeHRM - My Info - Contact Details","2026-08-21","failed","2026-08-21","","","",""
"","4680","LOGIN_TC19: username quá dài (>255 ký tự)","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","2081","LOGIN_TC09: password phân biệt hoa thường","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","4636","MYINFO_TC06: Choose Marital Status","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","18200","MYINFO_TC24: XSS payload in Street 1 is stored as plain text and not executed","OrangeHRM - My Info - Contact Details","2026-08-21","failed","2026-08-21","","","",""
"","2246","MYINFO_TC19: Upload Avatar with an invalid format)","OrangeHRM - My Info - Avatar","2026-08-21","passed","2026-08-21","","","",""
"","4592","MYINFO_TC07: Input valid Date of Birth","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","1843","LOGIN_TC11: XSS trong ô username","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","2515","LOGIN_TC20: ký tự đặc biệt Unicode trong username","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","0","LOGIN_TC07: username phân biệt hoa thường","","2026-08-21","skipped","2026-08-21","","","",""
"","2931","MYINFO_TC20: Upload Avatar with an oversized file)","OrangeHRM - My Info - Avatar","2026-08-21","passed","2026-08-21","","","",""
"","972","LOGIN_TC05: bỏ trống password","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","13370","MYINFO_TC04: Input Employee ID","OrangeHRM - My Info - Personal Details","2026-08-21","failed","2026-08-21","","","",""
"","3548","LOGIN_TC15: đăng xuất (Logout)","Login Module","2026-08-21","passed","2026-08-21","","","",""
"","0","LOGIN_TC08: khoảng trắng thừa trong username","","2026-08-21","skipped","2026-08-21","","","",""
"","3829","MYINFO_TC10: Choose Gender","OrangeHRM - My Info - Personal Details","2026-08-21","passed","2026-08-21","","","",""
"","5106","MYINFO_TC18: Upload Avatar with a valid image)","OrangeHRM - My Info - Avatar","2026-08-21","passed","2026-08-21","","","",""
