"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1237","LOGIN_TC05: bỏ trống password","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","6022","LOGIN_TC14: reset password — click Cancel","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","5842","LOGIN_TC09: password phân biệt hoa thường","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","4265","LOGIN_TC20: ký tự đặc biệt Unicode trong username","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","0","LOGIN_TC17: session sau khi logout (nút Back)","","2026-08-24","skipped","2026-08-24","","","",""
"","1047","LOGIN_TC04: bỏ trống username","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","0","LOGIN_TC07: username phân biệt hoa thường","","2026-08-24","skipped","2026-08-24","","","",""
"","15132","LOGIN_TC15: đăng xuất (Logout)","Login Module","2026-08-24","failed","2026-08-24","","","",""
"","2471","LOGIN_TC02: đăng nhập thất bại với password sai","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","13888","LOGIN_TC01: đăng nhập thành công với tài khoản hợp lệ","Login Module","2026-08-24","failed","2026-08-24","","","",""
"","2229","LOGIN_TC06: bỏ trống cả username và password","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","4464","LOGIN_TC11: XSS trong ô username","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","0","LOGIN_TC13: reset password với username hợp lệ","","2026-08-24","skipped","2026-08-24","","","",""
"","2027","LOGIN_TC16: truy cập trang nội bộ khi chưa login","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","2927","LOGIN_TC19: username quá dài (>255 ký tự)","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","0","LOGIN_TC08: khoảng trắng thừa trong username","","2026-08-24","skipped","2026-08-24","","","",""
"","3004","LOGIN_TC12: Forgot Password — điều hướng","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","11156","LOGIN_TC18: nhớ trạng thái đăng nhập khi refresh","Login Module","2026-08-24","failed","2026-08-24","","","",""
"","2127","LOGIN_TC03: đăng nhập thất bại với username sai","Login Module","2026-08-24","passed","2026-08-24","","","",""
"","5300","LOGIN_TC10: SQL Injection cơ bản trong username","Login Module","2026-08-24","passed","2026-08-24","","","",""
